fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
235,0.18028,1,2,12,1.18853,3.022,1.265,0,2,0,1,1,0
236,0.29331,2,1,21,0.93021,6.837,0.209,0,2,1,1,1,0
237,0.57489,2,1,21,1.50422,6.515,0.814,1,3,1,1,1,0
238,2.77914,1,1,11,74.00351,57.943,0,1,2,1,1,0,0
239,0.19880,2,1,21,1.18432,3.39,0.413,1,2,0,1,1,0
240,0.17270,3,1,31,0.3986,1.251,0.042,0,1,1,1,0,0
241,1.53714,1,1,11,7.3072,3.27,0.467,1,2,1,1,1,1
242,0.16775,2,1,21,0.89977,2.947,0.604,0,2,1,1,1,0
244,0.15063,1,2,12,0.82921,2.305,0.939,0,2,0,1,0,0
245,0.38957,1,2,12,4.08229,5.908,0.709,0,2,1,1,1,0
246,0.32994,1,2,12,1.64218,2.595,1.172,0,2,1,1,0,0
247,0.27437,1,1,11,0.5567,2.18,0.099,1,2,1,1,1,0
248,0.31235,1,1,11,2.69672,4.489,1.088,0,2,1,1,1,0
249,0.11958,1,2,12,2.70441,0.884,1.031,0,2,1,1,0,0
250,0.34384,1,2,12,5.2747,3.684,0,1,1,1,1,0,0
251,0.39973,1,2,12,1.75671,9.96,0.752,0,2,1,1,0,0
252,0.26237,1,1,11,1.26631,2.239,0.09,1,2,0,1,1,0
253,0.28540,1,2,12,0.38692,4.383,0.461,0,3,1,1,0,0
254,0.78117,1,1,11,22.06459,42.333,0,1,2,1,1,1,0
255,0.73483,1,2,12,4.03791,3.275,4.787,1,2,1,1,1,0
257,2.84287,1,2,12,4.55053,7.046,0.881,0,2,1,1,0,0
258,0.85120,1,1,11,5.08543,13.813,0.921,0,3,1,1,0,0
259,0.78324,2,1,21,1.93253,2.006,0.334,1,2,1,1,1,0
260,0.32938,2,1,21,0.73069,03.08,0.16,0,2,1,1,1,0
261,0.00956,3,1,31,0.28833,0,0,1,1,0,1,0,0
262,0.40745,1,1,11,1.05128,6.853,0.255,0,3,1,1,1,0
263,0.08271,1,1,11,0.27274,0,0.03,0,2,0,1,0,0
264,0.12761,3,1,31,0.41004,0,0.047,1,1,0,1,0,0
265,2.33641,1,2,12,8.82627,61.573,0.892,1,3,1,1,0,0
266,0.15113,3,1,31,0.45816,7.53,0.052,0,3,1,1,0,0
268,2.21898,1,1,11,36.79151,63.659,0,1,2,1,1,1,0
269,0.16952,3,1,31,1.2952,3.488,0.303,1,2,1,1,0,0
270,0.10496,3,2,32,1.13236,2.78,0.222,0,2,1,1,0,0
271,1.85433,1,2,12,7.71743,9.297,0.489,1,2,1,1,1,0
272,1.35880,1,2,12,9.13381,21.606,0,1,2,1,1,1,0
274,0.23893,2,1,21,0.67054,1.975,0.048,0,2,1,1,1,0
275,0.10036,2,1,21,2.34832,2.253,0.25,1,2,1,1,0,0
276,0.17185,3,1,31,0.81381,2.437,0.044,0,1,1,1,0,0
277,6.33147,2,1,21,13.00921,21.947,1.756,1,2,1,1,0,0
278,1.63194,2,2,22,6.91304,16.607,1.661,1,1,1,1,0,0
279,0.83090,3,2,32,2.66506,16.304,1.856,0,2,1,1,0,0
280,0.07274,3,1,31,1.02355,0,0.099,0,1,0,1,0,0
284,0.12242,3,1,31,0.15884,0.011,0.097,0,1,0,1,0,1
285,0.05326,3,1,31,0.25535,0.13,0.037,1,1,0,1,0,1
287,0.11292,3,1,31,0.50521,0,0.048,1,1,0,1,0,0
290,0.36230,1,1,11,6.14959,12.72,0.424,1,1,1,1,1,0
292,0.22090,1,1,11,1.97306,3.864,0.682,1,2,1,1,1,0
293,0.32259,1,2,12,1.06541,2.606,0.2,0,2,0,1,1,0
297,0.20688,1,1,11,0.2271,0,0.087,0,1,1,1,0,0
298,1.01590,1,1,11,4.88136,0,0.521,1,2,0,1,1,0
299,4.88841,3,1,31,0.91249,0,0,1,1,1,1,0,0
